,nome,nota,diretor,ano,duracao,elenco
202,Mary e Max: Uma Amizade Diferente,8.1,Adam Elliot,2009,1h 32m,"['Toni Collette', 'Philip Seymour Hoffman', 'Eric Bana']"
203,Monstros S.A.,8.1,Pete Docter,2001,1h 32m,"['Billy Crystal', 'John Goodman', 'Mary Gibbs']"
204,Tubarão,8.1,Steven Spielberg,1975,2h 4m,"['Roy Scheider', 'Robert Shaw', 'Richard Dreyfuss']"
205,O Martírio de Joana D'Arc,8.2,Carl Theodor Dreyer,1928,1h 50m,"['Maria Falconetti', 'Eugene Silvain', 'André Berley']"
206,A Canção da Estrada,8.3,Satyajit Ray,1955,2h 5m,"['Kanu Bannerjee', 'Karuna Bannerjee', 'Subir Banerjee']"
207,Hotel Ruanda,8.1,Terry George,2004,2h 1m,"['Don Cheadle', 'Sophie Okonedo', 'Joaquin Phoenix']"
208,Era uma Vez em Tóquio,8.2,Yasujirô Ozu,1953,2h 16m,"['Chishû Ryû', 'Chieko Higashiyama', 'Sô Yamamura']"
209,Sociedade dos Poetas Mortos,8.1,Peter Weir,1989,2h 8m,"['Robin Williams', 'Robert Sean Leonard', 'Ethan Hawke']"
210,Platoon,8.1,Oliver Stone,1986,2h,"['Charlie Sheen', 'Tom Berenger', 'Willem Dafoe']"
211,Rocky: Um Lutador,8.1,John G. Avildsen,1976,2h,"['Sylvester Stallone', 'Talia Shire', 'Burt Young']"
212,Ford vs Ferrari,8.1,James Mangold,2019,2h 32m,"['Matt Damon', 'Christian Bale', 'Jon Bernthal']"
213,Conta Comigo,8.1,Rob Reiner,1986,1h 29m,"['Wil Wheaton', 'River Phoenix', 'Corey Feldman']"
214,O Exterminador do Futuro,8.1,James Cameron,1984,1h 47m,"['Arnold Schwarzenegger', 'Linda Hamilton', 'Michael Biehn']"
215,Rush: No Limite da Emoção,8.1,Ron Howard,2013,2h 3m,"['Daniel Brühl', 'Chris Hemsworth', 'Olivia Wilde']"
216,Spotlight: Segredos Revelados,8.1,Tom McCarthy,2015,2h 9m,"['Mark Ruffalo', 'Michael Keaton', 'Rachel McAdams']"
217,Na Natureza Selvagem,8.1,Sean Penn,2007,2h 28m,"['Emile Hirsch', 'Vince Vaughn', 'Catherine Keener']"
218,Rede de Intrigas,8.1,Sidney Lumet,1976,2h 1m,"['Faye Dunaway', 'William Holden', 'Peter Finch']"
219,O Mágico de Oz,8.1,Victor Fleming,1939,1h 42m,"['Judy Garland', 'Frank Morgan', 'Ray Bolger']"
220,Logan,8.1,James Mangold,2017,2h 17m,"['Hugh Jackman', 'Patrick Stewart', 'Dafne Keen']"
221,Feitiço do Tempo,8.1,Harold Ramis,1993,1h 41m,"['Bill Murray', 'Andie MacDowell', 'Chris Elliott']"
222,Ratatouille,8.1,Brad Bird,2007,1h 51m,"['Brad Garrett', 'Lou Romano', 'Patton Oswalt']"
223,O Exorcista,8.1,William Friedkin,1973,2h 2m,"['Ellen Burstyn', 'Max von Sydow', 'Linda Blair']"
224,Antes do Pôr-do-Sol,8.1,Richard Linklater,2004,1h 20m,"['Ethan Hawke', 'Julie Delpy', 'Vernon Dobtcheff']"
225,Os Melhores Anos de Nossa Vida,8.1,William Wyler,1946,2h 50m,"['Myrna Loy', 'Dana Andrews', 'Fredric March']"
226,Os Incríveis,8.0,Brad Bird,2004,1h 55m,"['Craig T. Nelson', 'Samuel L. Jackson', 'Holly Hunter']"
227,Ser ou Não Ser,8.2,Ernst Lubitsch,1942,1h 39m,"['Carole Lombard', 'Jack Benny', 'Robert Stack']"
228,A Batalha de Argel,8.1,Gillo Pontecorvo,1966,2h 1m,"['Brahim Hadjadj', 'Jean Martin', 'Yacef Saadi']"
229,"Rebecca, a Mulher Inesquecível",8.1,Alfred Hitchcock,1940,2h 10m,"['Laurence Olivier', 'Joan Fontaine', 'George Sanders']"
230,As Vinhas da Ira,8.1,John Ford,1940,2h 9m,"['Henry Fonda', 'Jane Darwell', 'John Carradine']"
231,Sempre ao Seu Lado,8.1,Lasse Hallström,2009,1h 33m,"['Richard Gere', 'Joan Allen', 'Cary-Hiroyuki Tagawa']"
232,Rebeldia Indomável,8.1,Stuart Rosenberg,1967,2h 7m,"['Paul Newman', 'George Kennedy', 'Strother Martin']"
233,Amores Brutos,8.1,Alejandro G. Iñárritu,2000,2h 34m,"['Emilio Echevarría', 'Gael García Bernal', 'Goya Toledo']"
234,Dersu Uzala,8.2,Akira Kurosawa,1975,2h 22m,"['Maksim Munzuk', 'Yuriy Solomin', 'Mikhail Bychkov']"
