,nome,nota,diretor,ano,duracao,elenco
99,O Fabuloso Destino de Amélie Poulain,8.3,Jean-Pierre Jeunet,2001,2h 2m,"['Audrey Tautou', 'Mathieu Kassovitz', 'Rufus']"
100,Laranja Mecânica,8.3,Stanley Kubrick,1971,2h 16m,"['Malcolm McDowell', 'Patrick Magee', 'Michael Bates']"
101,Vá e Veja,8.4,Elem Klimov,1985,2h 22m,"['Aleksey Kravchenko', 'Olga Mironova', 'Liubomiras Laucevicius']"
102,Nascido para Matar,8.3,Stanley Kubrick,1987,1h 56m,"['Matthew Modine', 'R. Lee Ermey', ""Vincent D'Onofrio""]"
103,Pacto de Sangue,8.3,Billy Wilder,1944,1h 47m,"['Fred MacMurray', 'Barbara Stanwyck', 'Edward G. Robinson']"
104,Se Meu Apartamento Falasse,8.3,Billy Wilder,1960,2h 5m,"['Jack Lemmon', 'Shirley MacLaine', 'Fred MacMurray']"
105,Scarface,8.3,Brian De Palma,1983,2h 50m,"['Al Pacino', 'Michelle Pfeiffer', 'Steven Bauer']"
106,Homem-Aranha: Sem Volta para Casa,8.4,Jon Watts,2021,2h 28m,"['Tom Holland', 'Zendaya', 'Benedict Cumberbatch']"
107,O Sol é para Todos,8.3,Robert Mulligan,1962,2h 9m,"['Gregory Peck', 'John Megna', 'Frank Overton']"
108,Viver,8.3,Akira Kurosawa,1952,2h 23m,"['Takashi Shimura', 'Nobuo Kaneko', ""Shin'ichi Himori""]"
109,Taxi Driver: Motorista de Táxi,8.2,Martin Scorsese,1976,1h 54m,"['Robert De Niro', 'Jodie Foster', 'Cybill Shepherd']"
110,Golpe de Mestre,8.3,George Roy Hill,1973,2h 9m,"['Paul Newman', 'Robert Redford', 'Robert Shaw']"
111,Los Angeles: Cidade Proibida,8.2,Curtis Hanson,1997,2h 18m,"['Kevin Spacey', 'Russell Crowe', 'Guy Pearce']"
112,Hamilton,8.4,Thomas Kail,2020,2h 40m,"['Lin-Manuel Miranda', 'Phillipa Soo', 'Leslie Odom Jr.']"
113,Up: Altas Aventuras,8.3,Pete Docter,2009,1h 36m,"['Edward Asner', 'Jordan Nagai', 'John Ratzenberger']"
114,Fogo Contra Fogo,8.3,Michael Mann,1995,2h 50m,"['Al Pacino', 'Robert De Niro', 'Val Kilmer']"
115,Metrópolis,8.3,Fritz Lang,1927,2h 33m,"['Brigitte Helm', 'Alfred Abel', 'Gustav Fröhlich']"
116,Snatch: Porcos e Diamantes,8.3,Guy Ritchie,2000,1h 44m,"['Jason Statham', 'Brad Pitt', 'Stephen Graham']"
117,A Separação,8.3,Asghar Farhadi,2011,2h 3m,"['Payman Maadi', 'Leila Hatami', 'Sareh Bayat']"
118,Duro de Matar,8.2,John McTiernan,1988,2h 12m,"['Bruce Willis', 'Alan Rickman', 'Bonnie Bedelia']"
119,Incêndios,8.3,Denis Villeneuve,2010,2h 11m,"['Lubna Azabal', 'Mélissa Désormeaux-Poulin', 'Maxim Gaudette']"
120,Indiana Jones e a Última Cruzada,8.2,Steven Spielberg,1989,2h 7m,"['Harrison Ford', 'Sean Connery', 'Alison Doody']"
121,Ladrões de Bicicletas,8.3,Vittorio De Sica,1948,1h 29m,"['Lamberto Maggiorani', 'Enzo Staiola', 'Lianella Carell']"
122,1917,8.2,Sam Mendes,2019,1h 59m,"['Dean-Charles Chapman', 'George MacKay', 'Daniel Mays']"
123,Como Estrelas na Terra,8.3,Aamir Khan,2007,2h 45m,"['Darsheel Safary', 'Aamir Khan', 'Tisca Chopra']"
124,A Queda! As Últimas Horas de Hitler,8.2,Oliver Hirschbiegel,2004,2h 36m,"['Bruno Ganz', 'Alexandra Maria Lara', 'Ulrich Matthes']"
125,Por uns Dólares a Mais,8.2,Sergio Leone,1965,2h 12m,"['Clint Eastwood', 'Lee Van Cleef', 'Gian Maria Volontè']"
126,Batman Begins,8.2,Christopher Nolan,2005,2h 20m,"['Christian Bale', 'Michael Caine', 'Ken Watanabe']"
127,Dangal,8.3,Nitesh Tiwari,2016,2h 41m,"['Aamir Khan', 'Sakshi Tanwar', 'Fatima Sana Shaikh']"
128,O Garoto,8.3,Charles Chaplin,1921,1h 8m,"['Charles Chaplin', 'Edna Purviance', 'Jackie Coogan']"
129,Quanto Mais Quente Melhor,8.2,Billy Wilder,1959,2h 1m,"['Marilyn Monroe', 'Tony Curtis', 'Jack Lemmon']"
130,Meu Pai,8.3,Florian Zeller,2020,1h 37m,"['Anthony Hopkins', 'Olivia Colman', 'Mark Gatiss']"
131,A Malvada,8.2,Joseph L. Mankiewicz,1950,2h 18m,"['Bette Davis', 'Anne Baxter', 'George Sanders']"
132,Green Book: O Guia,8.2,Peter Farrelly,2018,2h 10m,"['Viggo Mortensen', 'Mahershala Ali', 'Linda Cardellini']"
133,O Lobo de Wall Street,8.2,Martin Scorsese,2013,3h,"['Leonardo DiCaprio', 'Jonah Hill', 'Margot Robbie']"
134,Julgamento em Nuremberg,8.3,Stanley Kramer,1961,2h 59m,"['Spencer Tracy', 'Burt Lancaster', 'Richard Widmark']"
135,Os Imperdoáveis,8.2,Clint Eastwood,1992,2h 10m,"['Clint Eastwood', 'Gene Hackman', 'Morgan Freeman']"
136,O Labirinto do Fauno,8.2,Guillermo del Toro,2006,1h 58m,"['Ivana Baquero', 'Ariadna Gil', 'Sergi López']"
137,Cassino,8.2,Martin Scorsese,1995,2h 58m,"['Robert De Niro', 'Sharon Stone', 'Joe Pesci']"
138,Ran,8.2,Akira Kurosawa,1985,2h 42m,"['Tatsuya Nakadai', 'Akira Terao', 'Jinpachi Nezu']"
139,Sangue Negro,8.2,Paul Thomas Anderson,2007,2h 38m,"['Daniel Day-Lewis', 'Paul Dano', 'Ciarán Hinds']"
140,O Sexto Sentido,8.2,M. Night Shyamalan,1999,1h 47m,"['Bruce Willis', 'Haley Joel Osment', 'Toni Collette']"
141,Uma Mente Brilhante,8.2,Ron Howard,2001,2h 15m,"['Russell Crowe', 'Ed Harris', 'Jennifer Connelly']"
142,Monty Python em Busca do Cálice Sagrado,8.2,Terry Gilliam,1975,1h 31m,"['Graham Chapman', 'John Cleese', 'Eric Idle']"
143,O Show de Truman: O Show da Vida,8.2,Peter Weir,1998,1h 43m,"['Jim Carrey', 'Ed Harris', 'Laura Linney']"
144,"Yojimbo, o Guarda-Costas",8.2,Akira Kurosawa,1961,1h 50m,"['Toshirô Mifune', 'Eijirô Tôno', 'Tatsuya Nakadai']"
145,O Tesouro da Sierra Madre,8.2,John Huston,1948,2h 6m,"['Humphrey Bogart', 'Walter Huston', 'Tim Holt']"
146,Rashomon,8.2,Akira Kurosawa,1950,1h 28m,"['Toshirô Mifune', 'Machiko Kyô', 'Masayuki Mori']"
147,Fugindo do Inferno,8.2,John Sturges,1963,2h 52m,"['Steve McQueen', 'James Garner', 'Richard Attenborough']"
148,Ilha do Medo,8.2,Martin Scorsese,2010,2h 18m,"['Leonardo DiCaprio', 'Emily Mortimer', 'Mark Ruffalo']"
149,Kill Bill: Volume 1,8.2,Quentin Tarantino,2003,1h 51m,"['Uma Thurman', 'David Carradine', 'Daryl Hannah']"
150,Jurassic Park,8.2,Steven Spielberg,1993,2h 7m,"['Sam Neill', 'Laura Dern', 'Jeff Goldblum']"
151,Onde os Fracos Não Têm Vez,8.2,Ethan Coen,2007,2h 2m,"['Tommy Lee Jones', 'Javier Bardem', 'Josh Brolin']"
152,O Homem Elefante,8.2,David Lynch,1980,2h 4m,"['Anthony Hopkins', 'John Hurt', 'Anne Bancroft']"
153,Procurando Nemo,8.2,Andrew Stanton,2003,1h 40m,"['Albert Brooks', 'Ellen DeGeneres', 'Alexander Gould']"
154,Touro Indomável,8.2,Martin Scorsese,1980,2h 9m,"['Robert De Niro', 'Cathy Moriarty', 'Joe Pesci']"
155,Chinatown,8.2,Roman Polanski,1974,2h 10m,"['Jack Nicholson', 'Faye Dunaway', 'John Huston']"
