,d_perg,pergunta,assunto,local,d_resp,resp,status
132,24/05/2022 às 12:03,"Hora da compra ok, agora assistência.",['Outro Tipo de produto/Serviço'],São Paulo - SP,25/05/2022 às 15:32,"Olá, MadsonPela sua confiança no nosso trabalho, quando nos deparamos com alguma situação atípica do nosso padrão, nos comprometemos a melhor ação para resolução.Em trabalho conjunto com o nosso suporte técnico, acionamos a manutenção e troca do equipamento, após esta ação, entrei em contato via telefone, hoje dia 25/05/2022 ás 14h50min, no telefone (11) xxxxx-4169 citado em sua reclamação, para  informar que a solicitação da troca da máquina foi realizada, e a previsão de entrega é dia 31/05/2022. Ressaltamos que esta análise foi enviada por completo a seu e-mail, por conta de sigilo.Estamos à disposição para auxiliar em qualquer dúvida, as nossas centrais estão prontas para atende-lo (a) no canal que desejar:•  Central de Relacionamento: Atendimento de segunda a sábado das 8h00 às 22h00, nos telefones 4002-5472 (capitais e regiões metropolitanas) e 0800 570 8472 (demais localidades).•  Chat: Através do site Cielo atendimento 24 horas (https://www.cielo.com.br/).A sua avaliação é muito importante para nós, contamos com você para medirmos o controle de qualidade do Reclame Aqui.• Clique em  Minhas reclamações na Área do Consumidor • Localize a reclamação que quer avaliar Cielo • Clique em  Responder/ Avaliar Atenciosamente,Equipe Cielo",Resolvido
133,24/05/2022 às 11:50,CIELO NAO RESPONDE E NAO RESOLVE NADA,"['Cartão de crédito', 'Dificuldade de cadastro']",Santa Inês - MA,26/05/2022 às 11:05,"Olá Diego,Pela sua confiança em nosso trabalho, temos a responsabilidade de acompanhar todas as sinalizações de comportamentos que não condizem com a conduta estabelecida pela empresa. Por isso, quando nos deparamos com alguma situação atípica nos comprometemos a buscar a melhor forma para resolução.Realizamos vários contatos nos dias 24/05/2022, 25/05/2022 e 26/05/2022 pelos telefones disponíveis em sua manifestação, além, de encaminharmos mensagens privadas para tratar sua reclamação, porém, não obtivemos sucesso. Estamos à disposição para auxiliar! Por gentileza, ao visualizar essa mensagem utilize o campo “Responder Empresa”, em seu e-mail para entrar em contato conosco.Atenciosamente,Rianne - Equipe Cielo",Respondida
134,24/05/2022 às 11:43,CIELO BLOQUEOU MINHA MÁQUINA DE CARTÃO-  RETEVE OS VALORES PASSADOS NA MÁQUINA- NÃO CONSIGO REALIZAR VENDAS EM MEU ESTABELECIMENTO ,"['Pagamentos eletrônicos', 'Mau atendimento no SAC']",Itumbiara - GO,26/05/2022 às 10:10,"Olá Diego,Pela sua confiança em nosso trabalho, temos a responsabilidade de acompanhar todas as sinalizações de comportamentos que não condizem com a conduta estabelecida pela empresa. Por isso, quando nos deparamos com alguma situação atípica nos comprometemos a buscar a melhor forma para resolução.Realizamos o contato nos dias: 24/05/2022 ás 14h27 - 24/05/2022 ás 16h33 - 25/05/2022 ás 10h29, e  26/05/2022 ás 10h06, pelo telefone: (33) xxxxx-3498, além, de encaminharmos mensagens privadas para tratar sua reclamação, porém, não obtivemos sucesso. Estamos à disposição para auxiliar! Por gentileza, ao visualizar esta mensagem utilize o campo “Responder Empresa”, em seu e-mail para entrar em contato conosco.Att,Felipe-Equipe Cielo",Em réplica
135,24/05/2022 às 11:26,CONTRATO ENGANOSO QUEBRA DE ACORDO,['Outro Tipo de produto/Serviço'],Brasília - DF,26/05/2022 às 11:45,"Olá Elaine,Pela sua confiança em nosso trabalho, temos a responsabilidade de acompanhar todas as sinalizações de comportamentos que não condizem com a conduta estabelecida pela empresa. Por isso, quando nos deparamos com alguma situação atípica nos comprometemos a buscar a melhor forma para resolução.Conforme conversamos hoje, 26/05/2022 ás 11h42, onde nos confirmou o contato do seu gestor, o mesmo já realizou alguns ajustes nas taxas e irá tratar do ocorrido. Sendo assim estamos encerrando sua manifestação e ficamos a disposição caso tenha alguma duvida.Abraços,CamilaEquipe Cielo",Respondida
136,24/05/2022 às 11:26,Cobrança indevida,[],Crisópolis - BA,24/05/2022 às 14:11,"Olá Renata, boa tarde!Pela sua confiança em nosso trabalho, temos a responsabilidade de acompanhar todas as sinalizações de comportamentos que não condizem com a conduta estabelecida pela empresa. Por isso, quando nos deparamos com alguma situação atípica nos comprometemos a buscar a melhor forma para resolução.Tentei contato no dia 24/05 as 14:10, mas sem sucesso.A cobrança em questao foi estornada em exceção e sera feito o ajuste em ate 3 dias úteis.Foi solicitado a deleção do numero de pos no equipamento, visto que o equipamento nao esta em posse da senhora. Reforçamos também que estamos à disposição para te ajudar com eventuais dúvidas por meio dos nossos canais de atendimento.Abraços,AntonioEquipe Cielo",Respondida
137,24/05/2022 às 11:23,Não fazem o estorno da compra ,"['Financeiras', 'Estorno do valor pago']",São Paulo - SP,25/05/2022 às 12:32,"Olá JéssicaPela sua confiança em nosso trabalho, temos a responsabilidade de acompanhar todas as sinalizações de comportamentos que não condizem com a conduta estabelecida pela empresa. Por isso, quando nos deparamos com alguma situação atípica nos comprometemos a buscar a melhor forma para resolução.Conforme nosso contato, esclarecemos que realizamos o cancelamento da venda citada com sucesso e a carta de cancelamento já está disponível para download. Ressaltamos que esta análise foi enviada por completo a seu e-mail, por conta de sigilo. Estamos à disposição para auxiliar em qualquer dúvida, as nossas centrais estão prontas para atende-lo (a) no canal que desejar: •  Central de Relacionamento: Atendimento de segunda a sábado das 8h00 às 22h00, nos telefones 4002-5472 (capitais e regiões metropolitanas) e 0800 570 8472 (demais localidades).•  Chat: Através do site Cielo atendimento 24 horas (https://www.cielo.com.br/).A sua avaliação para o o atendimento é primordial, contamos com você para medirmos o nosso objetivo, tratar você em primeiro lugar.Abraços,TiphanieEquipe Cielo",Resolvido
138,24/05/2022 às 10:56,Cielo bando de [Editado pelo Reclame Aqui] ,"['Financeiras', 'Propaganda enganosa']",São Paulo - SP,24/05/2022 às 12:30,"Olá Jessica, bom dia!Pela sua confiança em nosso trabalho, temos a responsabilidade de acompanhar todas as sinalizações de comportamentos que não condizem com a conduta estabelecida pela empresa. Por isso, quando nos deparamos com alguma situação atípica nos comprometemos a buscar a melhor forma para resolução.Tentei contato na parte da tarde mas sem sucesso.A cobrança em questao foi estornada em carater de exceção e a mesma sera ajustada em ate 3 dias úteis. Reforçamos também que estamos à disposição para te ajudar com eventuais dúvidas por meio dos nossos canais de atendimento.Abraços,AntonioEquipe Cielo",Em réplica
139,24/05/2022 às 10:42,Receba Rapido Cielo,"['Cartão de crédito', 'Cobrança indevida']",Canoas - RS,,,Não respondida
140,24/05/2022 às 10:37,Emails indevidos de cobrança,['Outro Tipo de produto/Serviço'],Araçatuba - SP,27/05/2022 às 10:47,"Olá Mariana,Pela sua confiança em nosso trabalho, temos a responsabilidade de acompanhar todas as sinalizações de comportamentos que não condizem com a conduta estabelecida pela empresa. Por isso, quando nos deparamos com alguma situação atípica nos comprometemos a buscar a melhor forma para resolução.Ao trabalharmos sua manifestação, acionamos nossa área responsável e após devidas análises, constatamos que são débitos referente ao período em que a máquina ainda estava no estabelecimento, porém, como a cobrança não havia sido informada antes, em caráter de exceção, já solicitamos os devidos ajustes, com prazo de até 3 a 5 dias úteis para compensação sistêmica.Ressaltamos que caso ainda esteja recebendo contatos de cobranças, como: ligações, SMS ou e-mails, os mesmos ainda podem ocorrer em até 5 dias úteis após a baixa dos valores em sistema.Qualquer dúvida, estamos à disposição.Atenciosamente,Rianne - Equipe Cielo",Resolvido
141,24/05/2022 às 10:34,Cielo nao quer cancelar ,"['Financeiras', 'Cancelamento']",João Pessoa - PB,25/05/2022 às 10:32,"Olá Allan,Pela sua confiança em nosso trabalho, temos a responsabilidade de acompanhar todas as sinalizações de comportamentos que não condizem com a conduta estabelecida pela empresa. Por isso, quando nos deparamos com alguma situação atípica nos comprometemos a buscar a melhor forma para resolução.Como dito por contato telefônico, você nos informou que encerrou as atividades do seu estabelecimento, sendo assim, concluímos o cancelamento de seu cadastro e solicitamos a retirada da máquina, que será concluída em até 5 dias úteis. Pedimos que mantenha o equipamento no endereço informado junto com seus componentes.Qualquer dúvida, estamos à disposição.Atenciosamente,Rianne - Equipe Cielo",Respondida
142,24/05/2022 às 09:32,Cobrança indevida,[],Salvador - BA,24/05/2022 às 11:03,"Olá Girlene!Nós da Cielo acreditamos que a transparência é um dever recorrente, com isso, nada melhor que manter este lema, e esclarecermos cada ponto da sua reclamação. Conforme contato telefônico realizado hoje 24/05/2022 às 10h58min, confirmamos sobre a baixa da cobrança que foi realizada e está para liquidação em sistema até amanhã. Te encaminhamos mais informações para o seu e-mail por sigilo. Estamos à disposição para auxiliar em qualquer dúvida, as nossas centrais estão prontas para atende-la no canal que desejar:•  Central de Relacionamento: Atendimento de segunda a sábado das 8h00 às 22h00, nos telefones 4002-5472 (capitais e regiões metropolitanas) e 0800 570 8472 (demais localidades).•  Chat: Através do site Cielo atendimento 24 horas (https://www.cielo.com.br/).Abraços,RayaneEquipe Cielo",Respondida
143,24/05/2022 às 08:30,DESCASO TOTAL COM O COMERCIANTE,"['Pagamentos eletrônicos', 'Propaganda enganosa']",Campina Grande - PB,25/05/2022 às 01:48,"Olá Martina!Pela sua confiança em nosso trabalho, temos a responsabilidade de acompanhar todas as sinalizações de comportamentos que não condizem com a conduta estabelecida pela empresa. Por isso, quando nos deparamos com alguma situação atípica nos comprometemos a buscar a melhor forma para resolução.Tratando exclusivamente da sua reclamação, movimentações em sua conta alem de transacoes irregulares geraram alerta em nosso sistema, como se trata de uma instituição financeira, necessitamos de uma atenção redobrada, o serviço de antecipacao foi suspenso em uma análise interna que nos impede de fazer esta liberação agora. Vale ressaltar que isso não significa que haja um problema com o seus dados. As limitações são internas e confidenciais.Em retorno o serviço de antecipacao ficará bloqueado ate o prazo determinado pela área de prevenção e segurança. Assim peço que aguarde o prazo para que possamos realizar uma nova análise para liberação dos recebíveisImportante ressaltar que tomamos essas ações somente quando se mostram essenciais e que todo esse processo está em conformidade com o nosso contrato.Reforçamos também que estamos à disposição para te ajudar com eventuais dúvidas por meio dos nossos canais de atendimento.Abraços,Equipe Cielo",Em réplica
144,24/05/2022 às 08:11,Cobrança indevida,"['Financeiras', 'Cobrança indevida']",Limeira - SP,24/05/2022 às 10:49,"Olá Carlos, bom dia!Pela sua confiança em nosso trabalho, temos a responsabilidade de acompanhar todas as sinalizações de comportamentos que não condizem com a conduta estabelecida pela empresa. Por isso, quando nos deparamos com alguma situação atípica nos comprometemos a buscar a melhor forma para resolução.Conforme falamos, a cobrança em questao foi estornada em carater de exceção e sera ajustado em sistema em ate 3 dias úteis.Aplicamos uma isencao em sistema aonde a cobrança de aluguel vira todo mes mas o estorno acontecera ate o final do mes. Estamos à disposição para auxiliar em qualquer dúvidaA sua avaliação para o o atendimento é primordial, contamos com você para medirmos o nosso objetivo, tratar você em primeiro lugar.“Nosso compromisso é com você na luta de todo dia. Fomos indicados ao Prêmio Reclame Aqui, que reconhece as empresas com melhor atendimento ao cliente no Brasil! Ajude a gente, acessando: https://premio.reclameaqui.com.br/votacao/meios-de-pagamento-eletronico/cielo/51/10495.”Abraços,AntonioEquipe Cielo",Resolvido
145,24/05/2022 às 08:10,Processo Judicial - Danos Morais,"['Aparelhos', 'Estorno do valor pago']",Recife - PE,,,Não respondida
146,24/05/2022 às 07:53,Cielo cobrando valor inexistente ,['Outro Tipo de produto/Serviço'],São José dos Pinhais - PR,,,Não respondida
147,24/05/2022 às 07:52,Carne assemelhado cielo,"['Pagamentos eletrônicos', 'Cobrança indevida']",São Paulo - SP,26/05/2022 às 14:12,"Olá Anderson, Pela sua confiança em nosso trabalho, temos a responsabilidade de acompanhar todas as sinalizações de comportamentos que não condizem com a conduta estabelecida pela empresa. Por isso, quando nos deparamos com alguma situação atípica nos comprometemos a buscar a melhor forma para resolução.Realizamos o contato nos dias: 24/05/2022 ás 12h06 - 24/05/2022 ás 15h09 -  25/05/2022 ás 10h23, e 26/05/2022 ás 14h09, pelo telefone: (11) xxxxx-7041, além, de encaminharmos mensagens privadas para tratar sua reclamação, porém, não obtivemos sucesso. Estamos à disposição para auxiliar! Por gentileza, ao visualizar esta mensagem utilize o campo “Responder Empresa”, em seu e-mail para entrar em contato conosco.Att,Felipe-Equipe Cielo",Em réplica
148,24/05/2022 às 07:50,cielo novamente cobrando algo que nao e meu ,"['Financeiras', 'Cobrança indevida']",São Caetano do Sul - SP,25/05/2022 às 14:33,"Olá Flavio,Pela sua confiança em nosso trabalho, temos a responsabilidade de acompanhar todas as sinalizações de comportamentos que não condizem com a conduta estabelecida pela empresa. Por isso, quando nos deparamos com alguma situação atípica nos comprometemos a buscar a melhor forma para resolução.Conforme conversamos em 25/05/2022, realizamos abertura de solicitação de retirada de seu equipamento onde o mesmo será retirado em até 5 dias úteis e visando valores de aluguéis gerados dentro de período informado que houve solicitação de cancelamento não atendida, estamos solicitando em caráter de exceção, retirada de negativação em sistema totalizando o valor mencionado em e-mail pessoal e no prazo de 3 dias úteis a mesma já não apresentará em sistema.Protocolo encaminhado via e-mail pessoal.Estamos à disposição para auxiliar em qualquer dúvida, as nossas centrais estão prontas para atende-lo (a) no canal que desejar:•  Central de Relacionamento: Atendimento de segunda a sábado das 8h00 às 22h00, nos telefones 4002-5472 (capitais e regiões metropolitanas) e 0800 570 8472 (demais localidades).•  Chat: Através do site Cielo atendimento 24 horas (https://www.cielo.com.br/).Abraços,NataliaEquipe Cielo",Respondida
149,24/05/2022 às 06:45,Cobrança indevida ,['Outro Tipo de produto/Serviço'],Maceió - AL,,,Não respondida
150,23/05/2022 às 22:52,Antecipação de recebíveis sem autorização.,['Outro Tipo de produto/Serviço'],QUISSAMA - RJ,,,Não respondida
151,23/05/2022 às 22:22,Máquina Cielo não cumpre o negociado através do ReclameAqui,"['Pagamentos eletrônicos', 'Cobrança indevida']",São Bernardo do Campo - SP,24/05/2022 às 13:38,"Olá Marcio!Pela sua confiança em nosso trabalho, temos a responsabilidade de acompanhar todas as sinalizações de comportamentos que não condizem com a conduta estabelecida pela empresa. Por isso, quando nos deparamos com alguma situação atípica nos comprometemos a buscar a melhor forma para resolução.Conforme contato telefônico realizado hoje 24/05/2022 às 13h35min, identificamos a cobrança referente ao pro-rata do aluguel de 05/2022, já solicitamos a baixa da cobrança que será liquidada em até 3 dias úteis.  Estamos à disposição para auxiliar em qualquer dúvida, as nossas centrais estão prontas para atende-lo no canal que desejar: •  Central de Relacionamento: Atendimento de segunda a sábado das 8h00 às 22h00, nos telefones 4002-5472 (capitais e regiões metropolitanas) e 0800 570 8472 (demais localidades).•  Chat: Através do site Cielo atendimento 24 horas (https://www.cielo.com.br/).Abraços,RayaneEquipe Cielo",Resolvido
152,23/05/2022 às 20:15,Falta de suporte ,[],Águas de Lindóia - SP,25/05/2022 às 13:25,"Olá Edson!Pela sua confiança em nosso trabalho, temos a responsabilidade de acompanhar todas as sinalizações de comportamentos que não condizem com a conduta estabelecida pela empresa. Por isso, quando nos deparamos com alguma situação atípica nos comprometemos a buscar a melhor forma para resolução.Realizamos os contatos nos dias 24/05/2022 às 08h26min, 24/05/2022 às 13h22min, 25/05/2022 às 09h56min e 25/05/2022 às 13h23min pelo telefone citado na reclamação, além, de encaminharmos mensagens privadas para tratar sua reclamação, porém, não obtivemos sucesso. Estamos à disposição para auxiliar! Por gentileza, ao visualizar esta mensagem utilize o campo “Responder Empresa”, em seu e-mail para entrar em contato conosco.Abraços,RayaneEquipe Cielo",Respondida
153,23/05/2022 às 17:12,Cobrança indevida depois de já cancelado,"['Aparelhos', 'Aluguel']",Uberlândia - MG,24/05/2022 às 12:01,"Olá Paula,Pela sua confiança em nosso trabalho, temos a responsabilidade de acompanhar todas as sinalizações de comportamentos que não condizem com a conduta estabelecida pela empresa. Por isso, quando nos deparamos com alguma situação atípica nos comprometemos a buscar a melhor forma para resolução.Conforme conversamos em 24/05/2022, identificamos cobranças de aluguéis realizadas em seu estabelecimento totalizando o valor de mencionado em seu e-mail pessoal e realizamos todos os esclarecimentos referente aos estornos lançados de acordo com a oferta de isenção com suas devidas programações em conta.Estamos à disposição para auxiliar em qualquer dúvida, as nossas centrais estão prontas para atende-lo (a) no canal que desejar:•  Central de Relacionamento: Atendimento de segunda a sábado das 8h00 às 22h00, nos telefones 4002-5472 (capitais e regiões metropolitanas) e 0800 570 8472 (demais localidades).•  Chat: Através do site Cielo atendimento 24 horas (https://www.cielo.com.br/).Abraços,NataliaEquipe Cielo",Resolvido
154,23/05/2022 às 17:05,Cielo,['Outro Tipo de produto/Serviço'],São Paulo - SP,23/05/2022 às 17:52,"Olá PatríciaConforme sua solicitação hoje 23/05/2022, seu telefone (11)XXXX-XXXX já foi incluído na lista de NOCONTACT. Pedimos desculpas por qualquer transtorno. Estamos sempre dispostos a atende-lo da melhor forma possível. Caso seja necessário, entre em contato com a nossa Central de Relacionamento de segunda a sábado, das 8h às 22h: 4002-5472 (capitais e regiões metropolitanas) e 0800 570 8472 (demais localidades).  AtenciosamenteIsabela / Equipe Cielo",Respondida
155,23/05/2022 às 17:03,Estorno não realizado,[],São Paulo - SP,24/05/2022 às 09:59,"Olá Amauri,Nós da Cielo acreditamos que a transparência é um dever recorrente, com isso, nada melhor que manter este lema, e esclarecermos cada ponto da sua reclamação. Conforme conversa em 24/05/2022 ás 09h50, no telefone: (11) xxxx-5483, ao trabalhar sua reclamação com nossa área comercial, verificamos e concluímos que em análise realizada, identificamos que consta o cancelamento da venda mencionada, e inclusive a carta de cancelamento da mesma foi emitida normalmente e disponibilizada ao portador do cartão. Neste caso, a evidência de cancelamento da venda acima, é mediante a carta de cancelamento emitida. Orientamos que o portador do cartão verifique diretamente com o a instituição bancária do mesmo.Ressaltamos que esta análise foi enviada por completo a seu e-mail, dita também, pelo nosso contato via telefone.Estamos à disposição para auxiliar em qualquer dúvida, as nossas centrais estão prontas para atende-lo (a) no canal que desejar:•  Central de Relacionamento: Atendimento de segunda a sábado das 8h00 às 22h00, nos telefones 4002-5472 (capitais e regiões metropolitanas) e 0800 570 8472 (demais localidades).•  Chat: Através do site Cielo atendimento 24 horas (https://www.cielo.com.br/).Att,Felipe-Equipe Cielo",Em réplica
156,23/05/2022 às 16:58,cobrança indevida,['Outro Tipo de produto/Serviço'],Santa Cruz Cabrália - BA,,,Não respondida
157,23/05/2022 às 16:34,Limbo entre setor de cadastro e o financeiro,"['Financeiras', 'Cobrança indevida']",Rio de Janeiro - RJ,,,Não respondida
158,23/05/2022 às 16:03,Alteração nas taxas sem comunicação prévia e sem consentimento.,"['Financeiras', 'Descumprimento de acordo']",Maringá - PR,,,Não respondida
159,23/05/2022 às 15:48,Token inválido,"['Pagamentos eletrônicos', 'Dificuldade de cancelamento']",Porto Alegre - RS,23/05/2022 às 17:01,"Olá EricaPela sua confiança em nosso trabalho, temos a responsabilidade de acompanhar todas as sinalizações de comportamentos que não condizem com a conduta estabelecida pela empresa. Por isso, quando nos deparamos com alguma situação atípica nos comprometemos a buscar a melhor forma para resolução.Conforme nosso contato hoje 23/05/2022 ás 16H51, como nos informa ter conseguido validar o token e cancelar as vendas, informamos que estamos sempre a disposição para auxilia-la. Estamos à disposição para auxiliar em qualquer dúvida, as nossas centrais estão prontas para atende-lo (a) no canal que desejar:•  Central de Relacionamento: Atendimento de segunda a sábado das 8h00 às 22h00, nos telefones 4002-5472 (capitais e regiões metropolitanas) e 0800 570 8472 (demais localidades).•  Chat: Através do site Cielo atendimento 24 horas (https://www.cielo.com.br/).Atenciosamente Isabela / Equipe Cielo",Respondida
160,23/05/2022 às 15:07,vencem você no cansaço ,"['Pagamentos eletrônicos', 'RAV (Recebimento antecipado de vendas)']",Curitiba - PR,23/05/2022 às 15:16,"Olá Jose, boa tarde!Esta manifestacao foi tratada no ID RA 143362539 aonde o teor da reclamação é o mesmo, mas segue novamente para compreensaoPela sua confiança em nosso trabalho, temos a responsabilidade de acompanhar todas as sinalizações de comportamentos que não condizem com a conduta estabelecida pela empresa. Por isso, quando nos deparamos com alguma situação atípica nos comprometemos a buscar a melhor forma para resolução.O reprocessamento da antecipação avulsa realizada foi feita com sucesso e o valor mencionado sera creditado na sua conta cadastrada na Cielo em ate 3 dias úteis. So aguardar e acompanhar pelo site o lancamento do ajuste Reforçamos também que estamos à disposição para te ajudar com eventuais dúvidas por meio dos nossos canais de atendimento.Abraços,AntonioEquipe Cielo",Respondida
161,23/05/2022 às 14:50,CIELO ME LIGA TODA HORA - PERTURBADOR.,"['Pagamentos eletrônicos', 'Mau atendimento no SAC']",Brasília - DF,,,Não respondida
162,23/05/2022 às 14:45,Cielo me Cobrando Aluguel dá Máquina 900% á mais do que foi contratado!!,['Outro Tipo de produto/Serviço'],Ribeirão Preto - SP,,,Não respondida
163,23/05/2022 às 14:19,Taxa de Cartões,['Outro Tipo de produto/Serviço'],São José - SC,27/05/2022 às 11:05,"Olá Marcos,Pela sua confiança em nosso trabalho, temos a responsabilidade de acompanhar todas as sinalizações de comportamentos que não condizem com a conduta estabelecida pela empresa. Por isso, quando nos deparamos com alguma situação atípica nos comprometemos a buscar a melhor forma para resolução.Ao trabalharmos sua manifestação, acionamos nossa área responsável, juntamente de seu gestor comercial e recebemos o retorno de que o gestor já entrou em contato com o estabelecimento para negociar as taxas dos estabelecimentos citados em sua reclamação e que você está analisando a proposta oferecida. Sobre o cancelamento de um dos estabelecimentos, conforme conversamos por telefone, já concluímos o cancelamento e solicitamos a retirada da máquina, através do protocolo que enviamos em seu e-mail cadastrado no Reclame Aqui e verificamos que já foi retirada em 26/05/2022.Qualquer dúvida, estamos à disposição.Atenciosamente,Rianne - Equipe Cielo",Respondida
164,23/05/2022 às 13:59,Débito indevido,"['Financeiras', 'Cobrança indevida']",FORTALEZA - CE,,,Não respondida
165,23/05/2022 às 13:14,Ligações indevidas,['Outro Tipo de produto/Serviço'],Campo Grande - MS,24/05/2022 às 10:16,"Olá Gladimir,Pela sua confiança em nosso trabalho, temos a responsabilidade de acompanhar todas as sinalizações de comportamentos que não condizem com a conduta estabelecida pela empresa. Por isso, quando nos deparamos com alguma situação atípica nos comprometemos a buscar a melhor forma para resolução.Conforme conversamos hoje, 24/05/2022 ás 10h14, já incluímos seu telefone em nossa lista de não contatos, onde em até 5 dias uteis o senhor não receberá mais ligações da empresa. Sendo assim estamos encerrando sua manifestação e ficamos a disposição caso tenha alguma duvida.Abraços,CamilaEquipe Cielo",Respondida
166,23/05/2022 às 13:09,Cancelamento da Maquina ,['Outro Tipo de produto/Serviço'],Fortaleza - CE,26/05/2022 às 09:50,"Olá Nivaldo,Pela sua confiança em nosso trabalho, temos a responsabilidade de acompanhar todas as sinalizações de comportamentos que não condizem com a conduta estabelecida pela empresa. Por isso, quando nos deparamos com alguma situação atípica nos comprometemos a buscar a melhor forma para resolução.Realizamos o contato nos dias: 23/05/2022 ás 15h40 - 24/05/2022 ás 13h42 - 25/05/2022 ás 10h16, e 26/05/2022 ás 09h45, pelo telefone: (85) xxxxx-4546, além, de encaminharmos mensagens privadas para tratar sua reclamação, porém, não obtivemos sucesso. Estamos à disposição para auxiliar! Por gentileza, ao visualizar esta mensagem utilize o campo “Responder Empresa”, em seu e-mail para entrar em contato conosco.Att,Felipe-Equipe Cielo",Respondida
167,23/05/2022 às 12:45,pos vendas pessimo,"['Pagamentos eletrônicos', 'RAV (Recebimento antecipado de vendas)']",Curitiba - PR,23/05/2022 às 15:06,"Olá Jose, boa tarde!Pela sua confiança em nosso trabalho, temos a responsabilidade de acompanhar todas as sinalizações de comportamentos que não condizem com a conduta estabelecida pela empresa. Por isso, quando nos deparamos com alguma situação atípica nos comprometemos a buscar a melhor forma para resolução.Tentei contato no dia 23/05 as 15:05, mas sem sucesso.O reprocessamento da antecipação avulsa realizada foi feita com sucesso e o valor antecipado sera creditado na sua conta em ate 3 dias úteis. Reforçamos também que estamos à disposição para te ajudar com eventuais dúvidas por meio dos nossos canais de atendimento.Abraços,AntonioEquipe Cielo",Não resolvido
168,23/05/2022 às 12:10,Cobrança de aluguel de maquina indevida,['Outro Tipo de produto/Serviço'],Fortaleza - CE,25/05/2022 às 11:10,"Olá Renan,Nós da Cielo acreditamos que a transparência é um dever recorrente, com isso, nada melhor que manter este lema, e esclarecermos cada ponto da sua reclamação. Conforme conversamos em 25/05/2022 ás 10h40, no telefone: (85) xxxxx-0010, ao trabalhar sua reclamação com nossa área comercial, concluímos que a cobrança é devida, pois trata-se de cobranças de aluguel referente aos meses 01/2022 á 05/2022. Entretanto, tivemos o cuidado em analisar cada informação dada por você, junto as informações que temos acesso internamente. Visando uma boa parceria entre a gente, solicitamos o estorno desta cobrança em caráter de exceção, o mesmo constará como totalmente liquidado dentro de 3 dias úteis.A solicitação de retirada da máquina foi efetuada e será concluído em até 5 dias úteis. Pedimos que mantenha o equipamento no endereço informado junto com seus componentes.Ressaltamos que esta análise foi enviada por completo a seu e-mail, dita também, pelo nosso contato via telefone.Estamos à disposição para auxiliar em qualquer dúvida, as nossas centrais estão prontas para atende-lo (a) no canal que desejar:•  Central de Relacionamento: Atendimento de segunda a sábado das 8h00 às 22h00, nos telefones 4002-5472 (capitais e regiões metropolitanas) e 0800 570 8472 (demais localidades).•  Chat: Através do site Cielo atendimento 24 horas (https://www.cielo.com.br/).Att,Felipe-Equipe Cielo",Respondida
169,23/05/2022 às 11:44,Cobrança ,[],Belo Horizonte - MG,23/05/2022 às 13:13,"Olá Barbara!Pela sua confiança em nosso trabalho, temos a responsabilidade de acompanhar todas as sinalizações de comportamentos que não condizem com a conduta estabelecida pela empresa. Por isso, quando nos deparamos com alguma situação atípica nos comprometemos a buscar a melhor forma para resolução.Conforme contato telefônico realizado hoje 23/05/2022 às 13h10min, identificamos que o Bônus de isenção de aluguel foi aplicado pelo Reclame Aqui e está vigente em seu cadastro até 07/2022, lembrando que após esse período é necessário que entre em contato com as nossas Centrais para verificar a possibilidade de uma nova negociação.Estamos à disposição para auxiliar em qualquer dúvida, as nossas centrais estão prontas para atende-la no canal que desejar: •  Central de Relacionamento: Atendimento de segunda a sábado das 8h00 às 22h00, nos telefones 4002-5472 (capitais e regiões metropolitanas) e 0800 570 8472 (demais localidades).•  Chat: Através do site Cielo atendimento 24 horas (https://www.cielo.com.br/).Abraços,RayaneEquipe Cielo",Respondida
170,23/05/2022 às 11:06,Não retiram a máquina ,['Outro Tipo de produto/Serviço'],Monte Mor - SP,27/05/2022 às 01:43,"Olá Paula.Pela sua confiança em nosso trabalho, temos a responsabilidade de acompanhar todas as sinalizações de comportamentos que não condizem com a conduta estabelecida pela empresa. Por isso, quando nos deparamos com alguma situação atípica nos comprometemos a buscar a melhor forma para resolução.Concluímos o cancelamento de seu cadastro e informamos que não existe mais nenhum registro ativo vinculado ao seus dados junto a Cielo. E realizamos o estorno dos aluguéis em caráter de exceção.A solicitação de retirada da máquina foi efetuada e será concluído em até 5 dias úteis. Pedimos que mantenha o equipamento no endereço informado junto com seus componentes.Reforçamos também que estamos à disposição para te ajudar com eventuais dúvidas por meio dos nossos canais de atendimento.Estamos à disposição para auxiliar em qualquer dúvida. Nossas centrais estão prontas para atende-lo (a) no canal que desejar:• Central de Relacionamento: Atendimento de segunda a sábado das 8h00 às 22h00, nos telefones 4002-5472 (capitais e regiões metropolitanas) e 0800 570 8472 (demais localidades).• Chat: Através do site Cielo atendimento 24 horas (https://www.cielo.com.br/)Abraços,FelipeEquipe Cielo",Respondida
