,d_perg,pergunta,assunto,local,d_resp,resp,status
112,24/05/2022 às 17:19,Apropriação indevida de pagamento,"['Pagamentos eletrônicos', 'Cobrança indevida']",Ribeirão Preto - SP,27/05/2022 às 01:54,"Olá Telmo!Pela sua confiança em nosso trabalho, temos a responsabilidade de acompanhar todas as sinalizações de comportamentos que não condizem com a conduta estabelecida pela empresa. Por isso, quando nos deparamos com alguma situação atípica nos comprometemos a buscar a melhor forma para resolução.Infelizmente nao sera possivel o estorno das taxas cobradas de antecipação, visto que passou o prazo maximo de contestacao de 90 dias assim tambem como nao sera possivel estornar os alugueis cobrados visto que toda isencao tem um prazo de validade e é necessario uma renovação. Portanto, nao havera estorno nem de antecipação e nem de aluguel.Reforçamos também que estamos à disposição para te ajudar com eventuais dúvidas por meio dos nossos canais de atendimento.Abraços,AntonioEquipe Cielo",Respondida
113,24/05/2022 às 17:17,Antecipação das vendas no cartao de credito sem minha autorização ,"['Cartão de crédito', 'Cobrança indevida']",PARAUAPEBAS - PA,26/05/2022 às 12:07,"Olá, Bruna Pela sua confiança em nosso trabalho, temos a responsabilidade de acompanhar todas as sinalizações de comportamentos que não condizem com a conduta estabelecida pela empresa. Por isso, quando nos deparamos com alguma situação atípica nos comprometemos a buscar a melhor forma para resolução.Realizamos o contato no dia  24/05/2022 ás 18h52min,  25/05/2022 ás 10h33min e retornamos as 16h12min, e na data de hoje dia 26/05/2022 ás 12h00min, pelo telefone (94) xxxxx-0101 citados na reclamação, além, de encaminharmos mensagens privadas para tratar sua reclamação, porém, não obtivemos sucesso. Estamos à disposição para auxiliar em qualquer dúvida. Nossas centrais estão prontas para atende-lo (a) no canal que desejar:•  Central de Relacionamento: Atendimento de segunda a sábado das 8h00 às 22h00, nos telefones 4002-5472 (capitais e regiões metropolitanas) e 0800 570 8472 (demais localidades).•  Chat: Através do site Cielo atendimento 24 horas (https://www.cielo.com.br/)Atenciosamente,Equipe Cielo",Respondida
114,24/05/2022 às 17:07,Encerramento do Relacionamento,['Outro Tipo de produto/Serviço'],São Paulo - SP,25/05/2022 às 09:00,"Olá Renata, bom dia!Pela sua confiança em nosso trabalho, temos a responsabilidade de acompanhar todas as sinalizações de comportamentos que não condizem com a conduta estabelecida pela empresa. Por isso, quando nos deparamos com alguma situação atípica nos comprometemos a buscar a melhor forma para resolução.Tentei contato no dia 25/05 as 09:00Concluímos o cancelamento de seu cadastro e informamos que não existe mais nenhum registro ativo vinculado ao seus dados junto a Cielo. A solicitação de retirada da máquina foi efetuada e será concluído em até 5 dias úteis. Pedimos que mantenha o equipamento no endereço informado junto com seus componentes. Reforçamos também que estamos à disposição para te ajudar com eventuais dúvidas por meio dos nossos canais de atendimento.Abraços,AntonioEquipe Cielo",Resolvido
115,24/05/2022 às 17:02,Não reconhecimento do cadastro,"['Financeiras', 'Cancelamento']",Fortaleza - CE,27/05/2022 às 16:07,"Olá Pedro,Nós da Cielo acreditamos que a transparência é um dever recorrente, com isso, nada melhor que manter este lema, e esclarecermos cada ponto da sua reclamação. Tentamos contato em 27/05/2022 ás 15h50, no telefone: (85) xxxxx-2406, porém sem sucesso. Entretanto, ao trabalhar sua reclamação com nossa área comercial, verificamos e concluímos que o cancelamento da venda solicitada, foi realizada com sucesso em sistema, e inclusive a carta de cancelamento foi disponibilizada em seu e-mail pessoal.Estamos à disposição para auxiliar em qualquer dúvida, as nossas centrais estão prontas para atende-lo (a) no canal que desejar:•  Central de Relacionamento: Atendimento de segunda a sábado das 8h00 às 22h00, nos telefones 4002-5472 (capitais e regiões metropolitanas) e 0800 570 8472 (demais localidades).•  Chat: Através do site Cielo atendimento 24 horas (https://www.cielo.com.br/).Att,Felipe-Equipe Cielo",Respondida
116,24/05/2022 às 17:00,ESTORNO NÃO REALIZADO POR INCOMPETENCIA DA EMPRESA,"['Cartão de crédito', 'Cancelamento']",São Paulo - SP,25/05/2022 às 08:57,"Olá rosemary, bom dia!Pela sua confiança em nosso trabalho, temos a responsabilidade de acompanhar todas as sinalizações de comportamentos que não condizem com a conduta estabelecida pela empresa. Por isso, quando nos deparamos com alguma situação atípica nos comprometemos a buscar a melhor forma para resolução.O cancelamento de venda no valor mencionado foi realizado com sucesso e a carta de cancelamento ficara disponivel no site em ate 3 dias úteis.Estamos à disposição para auxiliar em qualquer dúvidaA sua avaliação para o o atendimento é primordial, contamos com você para medirmos o nosso objetivo, tratar você em primeiro lugar.“Nosso compromisso é com você na luta de todo dia. Fomos indicados ao Prêmio Reclame Aqui, que reconhece as empresas com melhor atendimento ao cliente no Brasil! Ajude a gente, acessando: https://premio.reclameaqui.com.br/votacao/meios-de-pagamento-eletronico/cielo/51/10495.”Abraços,AntonioEquipe Cielo",Respondida
117,24/05/2022 às 16:43,Cancelamento Cielo ,"['Aparelhos', 'Não consigo cancelar']",Monte Mor - SP,25/05/2022 às 13:47,"Olá Dayane!Pela sua confiança em nosso trabalho, temos a responsabilidade de acompanhar todas as sinalizações de comportamentos que não condizem com a conduta estabelecida pela empresa. Por isso, quando nos deparamos com alguma situação atípica nos comprometemos a buscar a melhor forma para resolução.Conforme contato telefônico realizado hoje 25/05/2022 às 13h44min, concluímos o cancelamento de seu cadastro e informamos que não existe mais nenhum registro ativo vinculado ao seus dados junto a Cielo.A solicitação de retirada da máquina foi efetuada e será concluído em até 5 dias úteis. Pedimos que mantenha o equipamento no endereço informado junto com seus componentes.Reforçamos também que estamos à disposição para te ajudar com eventuais dúvidas por meio dos nossos canais de atendimento.Estamos à disposição para auxiliar em qualquer dúvida. Nossas centrais estão prontas para atende-la no canal que desejar:•  Central de Relacionamento: Atendimento de segunda a sábado das 8h00 às 22h00, nos telefones 4002-5472 (capitais e regiões metropolitanas) e 0800 570 8472 (demais localidades).•  Chat: Através do site Cielo atendimento 24 horas (https://www.cielo.com.br/)Abraços,RayaneEquipe Cielo",Respondida
118,24/05/2022 às 16:34,Cancelamento Cielo Zip,['Outro Tipo de produto/Serviço'],Quixabeira - BA,26/05/2022 às 08:33,"Olá José!Pela sua confiança em nosso trabalho, temos a responsabilidade de acompanhar todas as sinalizações de comportamentos que não condizem com a conduta estabelecida pela empresa. Por isso, quando nos deparamos com alguma situação atípica nos comprometemos a buscar a melhor forma para resolução.Realizamos os contatos nos dias 24/05/2022 ás 17H15, 25/05/2022 às 10h02min, 25/05/2022 às 13h35min e 26/05/2022 às 08h32min, pelo telefone citado na reclamação, além, de encaminharmos mensagens privadas para tratar sua reclamação, porém, não obtivemos sucesso. Estamos à disposição para auxiliar! Por gentileza, ao visualizar esta mensagem utilize o campo “Responder Empresa”, em seu e-mail para entrar em contato conosco.Abraços,RayaneEquipe Cielo",Respondida
119,24/05/2022 às 16:22,COBRANÇA INDEVIDA DE MÁQUINA JÁ DEVOLVIDA,"['Financeiras', 'Não consigo cancelar']",São Paulo - SP,26/05/2022 às 09:18,"Olá, Silas e Daiana Pela confiança em nosso trabalho, temos a responsabilidade de acompanhar todas as sinalizações de comportamentos que não condizem com a conduta estabelecida pela empresa. Por isso, quando nos deparamos com alguma situação atípica nos comprometemos a buscar a melhor forma para resolução.Realizamos o contato dia 25/05/2022 ás 15h33min, e retornamos o contato na data de hoje dia 26/05/2022 ás 08h43min, no telefone (11) xxxxx-5905 citado na manifestação. Efetuamos a deleção do lógico: xxxxx701O, estornamos as cobranças de aluguel do mesmo referente ao período de Fevereiro á Maio de 2022, referente os dois equipamentos que estava em uso, também estornando as duas últimas cobranças referente aos meses de Abril/ Maio de 2022, faremos o crédito do estorno em 3 dias úteis. Ressaltamos que esta análise foi enviada por completo a seu e-mail, por conta de sigilo.Concluímos o cancelamento de seu cadastro e informamos que não existe mais nenhum registro ativo vinculado ao seus dados junto a Cielo.A solicitação de retirada das máquinas foi efetuada e será concluído em até 5 dias úteis. Pedimos que mantenha o equipamento no endereço informado junto com seus componentes.Reforçamos também que estamos à disposição para te ajudar com eventuais dúvidas por meio dos nossos canais de atendimento.Estamos à disposição para auxiliar em qualquer dúvida. Nossas centrais estão prontas para atende-lo (a) no canal que desejar:•  Central de Relacionamento: Atendimento de segunda a sábado das 8h00 às 22h00, nos telefones 4002-5472 (capitais e regiões metropolitanas) e 0800 570 8472 (demais localidades).•  Chat: Através do site Cielo atendimento 24 horas (https://www.cielo.com.br/)A sua avaliação é muito importante para nós, contamos com você para medirmos o controle de qualidade do Reclame Aqui.• Clique em  Minhas reclamações na Área do Consumidor • Localize a reclamação que quer avaliar Cielo • Clique em  Responder/ Avaliar Atenciosamente,Equipe Cielo",Respondida
120,24/05/2022 às 15:41,Cobrança indevida,['Outro Tipo de produto/Serviço'],Petrópolis - RJ,24/05/2022 às 17:02,"Olá Pamela Pela sua confiança em nosso trabalho, temos a responsabilidade de acompanhar todas as sinalizações de comportamentos que não condizem com a conduta estabelecida pela empresa. Por isso, quando nos deparamos com alguma situação atípica nos comprometemos a buscar a melhor forma para resolução.Conforme nosso contato hoje 24/05/2022 ás 16H48, identificamos o débito em aberto, e em caráter de exceção solicitamos a baixa desta cobrança. A mesma não constará mais em sistema dentro de 3 dias úteis. Estamos à disposição para auxiliar em qualquer dúvida. Nossas centrais estão prontas para atende-lo (a) no canal que desejar:•  Central de Relacionamento: Atendimento de segunda a sábado das 8h00 às 22h00, nos telefones 4002-5472 (capitais e regiões metropolitanas) e 0800 570 8472 (demais localidades).•  Chat: Através do site Cielo atendimento 24 horas (https://www.cielo.com.br/) Atenciosamente Isabela / Equipe Cielo",Respondida
121,24/05/2022 às 15:08,Ha mais de 3 meses estou tentando trocar uma maquina da cielo com PROBLEMA !!!,"['Aparelhos', 'Não carrega a bateria']",São Félix do Xingu - PA,,,Não respondida
